Name,Ball Control,Dribbling,Marking,Slide Tackle,Stand Tackle,Aggression,Reactions,Att. Position,Interceptions,Vision,Composure,Crossing,Short Pass,Long Pass,Acceleration,Stamina,Strength,Balance,Sprint Speed,Agility,Jumping,Heading,Shot Power,Finishing,Long Shots,Curve,FK Acc.,Penalties,Volleys,Overall Rating
Robert Lewandowski,88,85,35,19,42,81,93,95,49,81,88,71,85,70,77,76,86,82,78,77,85,90,90,95,87,79,85,90,89,92
Cristiano Ronaldo,88,86,24,24,32,63,94,95,29,76,95,84,80,77,82,77,77,72,87,82,95,90,94,94,92,81,79,90,86,91
Harry Kane,85,83,50,38,36,80,92,94,44,87,92,80,84,85,67,83,84,71,69,68,79,85,92,94,86,82,65,92,87,89
Erling Haaland,85,78,44,29,53,85,88,89,43,73,85,47,74,51,82,82,93,72,93,77,74,78,94,94,87,77,62,76,88,88
Jamie Vardy,83,78,45,54,52,86,90,90,49,74,86,69,74,60,85,76,66,75,85,76,80,78,87,89,68,69,61,85,84,86
Romelu Lukaku,77,82,30,30,41,71,86,86,27,75,82,73,77,70,76,67,95,52,86,60,75,87,87,89,74,78,66,88,78,86
Ciro Immobile,81,79,34,32,33,73,87,90,40,71,76,55,79,53,84,78,74,85,86,75,82,81,86,91,80,70,51,88,85,86
Luis Suárez,83,81,42,38,45,87,89,91,41,82,87,78,80,76,74,73,84,78,68,71,69,85,89,90,87,86,82,83,90,86
Lautaro Martínez,85,83,55,44,31,90,88,84,45,80,86,56,76,73,86,80,84,89,80,86,88,84,80,87,74,78,43,74,90,85
Pierre-Emerick Aubameyang,81,78,20,36,29,43,84,88,48,74,83,72,78,64,85,74,74,67,88,77,75,76,82,87,79,80,76,82,82,85
Duván Gargiulo,84,79,44,22,24,72,82,86,20,66,82,44,74,47,78,78,95,58,81,67,80,83,86,88,64,55,62,75,79,84
Iago Aspas,86,87,39,18,21,63,84,84,39,81,85,80,80,73,78,70,60,72,86,88,66,77,79,89,81,79,83,82,84,84
Edin Džeko,86,78,54,16,28,58,83,90,50,74,86,63,77,78,65,74,86,55,69,62,64,85,86,88,78,65,54,67,80,84
Dušan Vlahović,84,79,18,24,26,60,83,88,22,66,80,50,70,50,77,79,88,52,82,61,68,76,83,88,80,68,56,73,76,83
Patrik Schick,85,82,44,19,24,65,80,84,25,74,83,64,77,64,74,64,83,67,81,83,75,85,81,86,80,78,56,67,80,83
